cell_type,contrast,symbol,logFC,t,P.Value,adj.P.Val
dc_monocytic_gmp,STAG2 vs rest,BTBD11,0.0235,4,7.17e-5,5.17e-4
dc_monocytic_gmp,STAG2 vs rest,MAPK14,0.0455,3.95,8.53e-5,5.99e-4
dc_monocytic_gmp,STAG2 vs rest,H2AFV,-0.0465,-3.91,1.03e-4,7.07e-4
dc_monocytic_gmp,STAG2 vs rest,N4BP2L2,0.0462,3.86,1.26e-4,8.45e-4
dc_monocytic_gmp,STAG2 vs rest,DENND1B,-0.05,-3.82,1.44e-4,9.41e-4
dc_monocytic_gmp,STAG2 vs rest,STK17B,-0.0602,-3.78,1.7e-4,0.00109
dc_monocytic_gmp,STAG2 vs rest,ARL6IP1,0.0606,3.77,1.76e-4,0.00109
dc_monocytic_gmp,STAG2 vs rest,ZNF326,-0.0652,-3.77,1.78e-4,0.00109
dc_monocytic_gmp,STAG2 vs rest,AIF1,0.148,3.69,2.44e-4,0.00146
dc_monocytic_gmp,STAG2 vs rest,CELF2,-0.0209,-3.67,2.61e-4,0.00153
dc_monocytic_gmp,STAG2 vs rest,WTAP,-0.152,-3.6,3.36e-4,0.00194
dc_monocytic_gmp,STAG2 vs rest,EREG,0.15,3.56,4.04e-4,0.00228
dc_monocytic_gmp,STAG2 vs rest,ZBTB20,-0.117,-3.51,4.77e-4,0.00264
dc_monocytic_gmp,STAG2 vs rest,PTEN,0.135,3.5,4.97e-4,0.0027
dc_monocytic_gmp,STAG2 vs rest,PRKCB,-0.106,-3.46,5.81e-4,0.0031
dc_monocytic_gmp,STAG2 vs rest,NFKBIA,-0.301,-3.45,5.93e-4,0.0031
dc_monocytic_gmp,STAG2 vs rest,PBX3,0.0786,3.42,6.65e-4,0.00342
dc_monocytic_gmp,STAG2 vs rest,CNBP,-0.0727,-3.39,7.47e-4,0.00378
dc_monocytic_gmp,STAG2 vs rest,RASA2,-0.255,-3.27,0.00113,0.0056
dc_monocytic_gmp,STAG2 vs rest,SUMF1,0.197,3.25,0.0012,0.00575
dc_monocytic_gmp,STAG2 vs rest,PICALM,-0.376,-3.25,0.0012,0.00575
dc_monocytic_gmp,STAG2 vs rest,DPYD,0.205,3.23,0.00132,0.00623
dc_monocytic_gmp,STAG2 vs rest,DIP2B,-0.129,-3.2,0.00146,0.00678
dc_monocytic_gmp,STAG2 vs rest,TUBA1B,-0.0472,-3.19,0.0015,0.00684
dc_monocytic_gmp,STAG2 vs rest,HMGB1,-0.046,-3.18,0.00152,0.00684
dc_monocytic_gmp,STAG2 vs rest,VIM,-0.0516,-3.18,0.00155,0.00688
dc_monocytic_gmp,STAG2 vs rest,ASXL1,0.217,3.16,0.00164,0.00714
dc_monocytic_gmp,STAG2 vs rest,CD164,-0.0442,-3.14,0.00179,0.00769
dc_monocytic_gmp,STAG2 vs rest,AREG,0.531,3.13,0.00185,0.00784
dc_monocytic_gmp,STAG2 vs rest,FUS,0.0218,3.1,0.00199,0.00832
dc_monocytic_gmp,STAG2 vs rest,TUBA1A,-0.146,-3.07,0.00226,0.00931
dc_monocytic_gmp,STAG2 vs rest,PPM1B,-0.117,-3,0.00284,0.0115
dc_monocytic_gmp,STAG2 vs rest,SPIDR,0.124,2.98,0.003,0.012
dc_monocytic_gmp,STAG2 vs rest,ERG,0.251,2.97,0.00309,0.0122
dc_monocytic_gmp,STAG2 vs rest,FOS,-0.328,-2.91,0.00371,0.0144
dc_monocytic_gmp,STAG2 vs rest,GRB2,-0.0589,-2.88,0.00405,0.0156
dc_monocytic_gmp,STAG2 vs rest,TTC17,0.0411,2.86,0.00438,0.0166
dc_monocytic_gmp,STAG2 vs rest,PDS5B,-0.0647,-2.86,0.00443,0.0166
dc_monocytic_gmp,STAG2 vs rest,NAP1L1,-0.00881,-2.82,0.0049,0.0181
dc_monocytic_gmp,STAG2 vs rest,CDK17,-0.061,-2.8,0.00532,0.0194
dc_monocytic_gmp,STAG2 vs rest,JUN,0.511,2.77,0.00576,0.0207
dc_monocytic_gmp,STAG2 vs rest,SLTM,-0.165,-2.75,0.00609,0.0215
dc_monocytic_gmp,STAG2 vs rest,YPEL5,-0.036,-2.75,0.00611,0.0215
dc_monocytic_gmp,STAG2 vs rest,RAB11A,0.0577,2.71,0.00691,0.024
dc_monocytic_gmp,STAG2 vs rest,MEF2A,0.0333,2.7,0.00702,0.0241
dc_monocytic_gmp,STAG2 vs rest,UBE2E1,-0.0464,-2.7,0.00715,0.0242
dc_monocytic_gmp,STAG2 vs rest,PRDX6,0.0646,2.69,0.00739,0.0244
dc_monocytic_gmp,STAG2 vs rest,PDZD8,-0.0637,-2.68,0.00745,0.0244
dc_monocytic_gmp,STAG2 vs rest,MDK,-0.105,-2.68,0.00745,0.0244
dc_monocytic_gmp,STAG2 vs rest,PELI1,-0.239,-2.68,0.00757,0.0245
dc_monocytic_gmp,STAG2 vs rest,EIF4G3,0.0518,2.66,0.00791,0.0253
dc_monocytic_gmp,STAG2 vs rest,TAF1D,0.059,2.65,0.00815,0.0258
dc_monocytic_gmp,STAG2 vs rest,ATAD2,0.00783,2.63,0.00883,0.0276
dc_monocytic_gmp,STAG2 vs rest,SYAP1,-0.154,-2.61,0.00926,0.0287
dc_monocytic_gmp,STAG2 vs rest,GRASP,-0.0438,-2.56,0.0107,0.0326
dc_monocytic_gmp,STAG2 vs rest,ATP2B1,-0.0144,-2.56,0.0108,0.0326
dc_monocytic_gmp,STAG2 vs rest,MECP2,0.159,2.51,0.0124,0.0372
dc_monocytic_gmp,STAG2 vs rest,FNIP1,0.116,2.47,0.0136,0.0404
dc_monocytic_gmp,STAG2 vs rest,PRTN3,0.057,2.47,0.0139,0.0409
dc_monocytic_gmp,STAG2 vs rest,MIS18BP1,-0.00356,-2.46,0.0141,0.0409
dc_monocytic_gmp,STAG2 vs rest,MAP3K8,-0.17,-2.46,0.0142,0.0409
dc_monocytic_gmp,STAG2 vs rest,NKTR,-0.00142,-2.45,0.0143,0.0409
dc_monocytic_gmp,STAG2 vs rest,SFPQ,0.0211,2.44,0.015,0.0424
dc_monocytic_gmp,STAG2 vs rest,AP3B1,-0.0529,-2.4,0.0165,0.0462
dc_monocytic_gmp,STAG2 vs rest,TET2,0.098,2.39,0.0171,0.0472
dc_monocytic_gmp,STAG2 vs rest,SLC39A8,0.161,2.39,0.0173,0.0475
dc_monocytic_gmp,STAG2 vs rest,RBL1,0.084,2.37,0.018,0.0488
dc_monocytic_gmp,STAG2 vs rest,NME2,0.0729,2.36,0.0185,0.0499
dc_monocytic_gmp,STAG2 vs rest,S100A4,-0.195,-2.35,0.0188,0.0502
dc_monocytic_gmp,STAG2 vs rest,WDFY2,0.102,2.33,0.02,0.0528
dc_monocytic_gmp,STAG2 vs rest,AOAH,0.104,2.32,0.0204,0.0534
dc_monocytic_gmp,STAG2 vs rest,STAU1,0.0916,2.31,0.021,0.0544
dc_monocytic_gmp,STAG2 vs rest,PELI2,0.0931,2.29,0.0222,0.0571
dc_monocytic_gmp,STAG2 vs rest,SCAF11,0.0244,2.28,0.0231,0.0589
dc_monocytic_gmp,STAG2 vs rest,KLF2,-0.0378,-2.27,0.0234,0.059
dc_monocytic_gmp,STAG2 vs rest,CCNI,-0.0574,-2.2,0.028,0.0692
dc_monocytic_gmp,STAG2 vs rest,RELL1,-0.161,-2.2,0.028,0.0692
dc_monocytic_gmp,STAG2 vs rest,WAC,0.00765,2.2,0.0281,0.0692
dc_monocytic_gmp,STAG2 vs rest,COG5,-0.0257,-2.17,0.0303,0.0734
dc_monocytic_gmp,STAG2 vs rest,DDX3X,-0.0383,-2.17,0.0303,0.0734
dc_monocytic_gmp,STAG2 vs rest,HSPD1,-0.0651,-2.14,0.033,0.0792
dc_monocytic_gmp,STAG2 vs rest,MYL12B,-0.0425,-2.13,0.0337,0.0801
dc_monocytic_gmp,STAG2 vs rest,EIF1AX,-0.148,-2.12,0.0345,0.0814
dc_monocytic_gmp,STAG2 vs rest,GNAS,-0.0336,-2.11,0.035,0.0818
dc_monocytic_gmp,STAG2 vs rest,APLP2,0.0982,2.1,0.0359,0.0834
dc_monocytic_gmp,STAG2 vs rest,ZNF254,0.116,2.09,0.0368,0.0847
dc_monocytic_gmp,STAG2 vs rest,SRPK2,-0.179,-2.08,0.0378,0.0865
dc_monocytic_gmp,STAG2 vs rest,SCFD1,0.0267,2.05,0.0405,0.0918
dc_monocytic_gmp,STAG2 vs rest,PPP3R1,0.0144,2.05,0.0408,0.0918
dc_monocytic_gmp,STAG2 vs rest,SELL,0.173,2.02,0.0441,0.0984
dc_monocytic_gmp,STAG2 vs rest,NSA2,-0.05,-1.98,0.0476,0.105
dc_monocytic_gmp,STAG2 vs rest,STK4,-0.0448,-1.98,0.0486,0.106
dc_monocytic_gmp,STAG2 vs rest,ZEB2,0.0762,1.97,0.0487,0.106
dc_monocytic_gmp,STAG2 vs rest,DDX5,-0.0607,-1.97,0.0493,0.107
dc_monocytic_gmp,STAG2 vs rest,SMURF2,0.0311,1.94,0.0523,0.112
dc_monocytic_gmp,STAG2 vs rest,HNRNPA1,0.0264,1.94,0.0534,0.114
dc_monocytic_gmp,STAG2 vs rest,ZC3HAV1,-0.306,-1.89,0.0598,0.127
dc_monocytic_gmp,STAG2 vs rest,RPS4Y1,0.176,1.88,0.0606,0.127
dc_monocytic_gmp,STAG2 vs rest,MZT2B,0.0392,1.88,0.0609,0.127
dc_monocytic_gmp,STAG2 vs rest,HNRNPD,0.0255,1.85,0.0646,0.134
dc_monocytic_gmp,STAG2 vs rest,LGALS1,-0.122,-1.84,0.0664,0.137
dc_monocytic_gmp,STAG2 vs rest,SMYD3,-0.0274,-1.83,0.0684,0.14
dc_monocytic_gmp,STAG2 vs rest,RAP1B,0.0164,1.82,0.0694,0.141
dc_monocytic_gmp,STAG2 vs rest,MARCH6,0.0023,1.8,0.0729,0.147
dc_monocytic_gmp,STAG2 vs rest,RPL26,-0.0224,-1.79,0.0736,0.147
dc_monocytic_gmp,STAG2 vs rest,DUSP1,-0.219,-1.79,0.0747,0.148
dc_monocytic_gmp,STAG2 vs rest,CLINT1,-0.0127,-1.74,0.0817,0.161
dc_monocytic_gmp,STAG2 vs rest,RELB,-0.195,-1.74,0.082,0.161
dc_monocytic_gmp,STAG2 vs rest,ZDHHC20,-0.0782,-1.73,0.0843,0.164
dc_monocytic_gmp,STAG2 vs rest,GOLPH3,0.0517,1.73,0.0846,0.164
dc_monocytic_gmp,STAG2 vs rest,PLAC8,0.0757,1.71,0.0882,0.169
dc_monocytic_gmp,STAG2 vs rest,TBL1XR1,0.0204,1.7,0.0891,0.17
dc_monocytic_gmp,STAG2 vs rest,NFKBIZ,-0.164,-1.7,0.0895,0.17
dc_monocytic_gmp,STAG2 vs rest,HMGN2,-0.0698,-1.69,0.0916,0.172
dc_monocytic_gmp,STAG2 vs rest,C12orf57,-0.0262,-1.67,0.0949,0.177
dc_monocytic_gmp,STAG2 vs rest,QKI,0.0265,1.67,0.0955,0.177
dc_monocytic_gmp,STAG2 vs rest,RSL24D1,-0.0231,-1.65,0.0992,0.183
dc_monocytic_gmp,STAG2 vs rest,PLXDC2,0.0532,1.63,0.103,0.19
dc_monocytic_gmp,STAG2 vs rest,FBXO33,-0.0332,-1.61,0.107,0.196
dc_monocytic_gmp,STAG2 vs rest,TBC1D5,0.0501,1.6,0.11,0.199
dc_monocytic_gmp,STAG2 vs rest,PPP1R12A,-0.00137,-1.6,0.111,0.199
dc_monocytic_gmp,STAG2 vs rest,RPLP1,0.0165,1.6,0.111,0.199
dc_monocytic_gmp,STAG2 vs rest,VMP1,0.118,1.51,0.131,0.233
dc_monocytic_gmp,STAG2 vs rest,SNX3,0.029,1.51,0.132,0.234
dc_monocytic_gmp,STAG2 vs rest,ZSWIM6,0.163,1.48,0.139,0.244
dc_monocytic_gmp,STAG2 vs rest,FNDC3A,0.0151,1.47,0.143,0.249
dc_monocytic_gmp,STAG2 vs rest,SRSF11,-0.0377,-1.46,0.145,0.251
dc_monocytic_gmp,STAG2 vs rest,SKIL,0.0299,1.45,0.147,0.254
dc_monocytic_gmp,STAG2 vs rest,TCF12,-0.0088,-1.43,0.155,0.265
dc_monocytic_gmp,STAG2 vs rest,RNF24,0.00126,1.42,0.156,0.265
dc_monocytic_gmp,STAG2 vs rest,EIF3A,0.0448,1.39,0.164,0.278
dc_monocytic_gmp,STAG2 vs rest,LUC7L2,-0.0267,-1.37,0.173,0.291
dc_monocytic_gmp,STAG2 vs rest,ARPC2,0.00436,1.35,0.176,0.296
dc_monocytic_gmp,STAG2 vs rest,SLC25A6,0.0142,1.34,0.182,0.303
dc_monocytic_gmp,STAG2 vs rest,KDM5B,-0.00524,-1.32,0.188,0.311
dc_monocytic_gmp,STAG2 vs rest,SYTL3,-0.0119,-1.31,0.192,0.315
dc_monocytic_gmp,STAG2 vs rest,IP6K1,0.0437,1.3,0.193,0.315
dc_monocytic_gmp,STAG2 vs rest,TEX14,0.0207,1.29,0.199,0.324
dc_monocytic_gmp,STAG2 vs rest,HNRNPR,0.0434,1.28,0.201,0.325
dc_monocytic_gmp,STAG2 vs rest,JARID2,-0.0777,-1.25,0.213,0.342
dc_monocytic_gmp,STAG2 vs rest,DEK,0.00466,1.24,0.214,0.343
dc_monocytic_gmp,STAG2 vs rest,RPL34,-3.97e-4,-1.24,0.216,0.344
dc_monocytic_gmp,STAG2 vs rest,PRKDC,0.00175,1.22,0.224,0.354
dc_monocytic_gmp,STAG2 vs rest,RANBP9,0.00183,1.2,0.229,0.361
dc_monocytic_gmp,STAG2 vs rest,GNB4,-0.0016,-1.19,0.233,0.365
dc_monocytic_gmp,STAG2 vs rest,MIF,0.0195,1.17,0.241,0.376
dc_monocytic_gmp,STAG2 vs rest,EZH2,0.0492,1.16,0.246,0.381
dc_monocytic_gmp,STAG2 vs rest,CD74,0.0178,1.14,0.253,0.388
dc_monocytic_gmp,STAG2 vs rest,BCLAF1,0.00116,1.14,0.254,0.388
dc_monocytic_gmp,STAG2 vs rest,NSMCE2,0.0128,1.14,0.257,0.391
dc_monocytic_gmp,STAG2 vs rest,NCOA3,-0.0212,-1.12,0.263,0.397
dc_monocytic_gmp,STAG2 vs rest,PPP6C,-0.00739,-1.12,0.264,0.397
dc_monocytic_gmp,STAG2 vs rest,HNRNPH1,0.0116,1.1,0.27,0.405
dc_monocytic_gmp,STAG2 vs rest,TPI1,-0.00951,-1.1,0.273,0.407
dc_monocytic_gmp,STAG2 vs rest,SIPA1L1,-0.0284,-1.08,0.28,0.415
dc_monocytic_gmp,STAG2 vs rest,SETD2,0.0089,1.08,0.282,0.415
dc_monocytic_gmp,STAG2 vs rest,DDAH2,-0.0105,-1.08,0.282,0.415
dc_monocytic_gmp,STAG2 vs rest,YBX1,0.0333,1.06,0.288,0.422
dc_monocytic_gmp,STAG2 vs rest,SECISBP2,-0.0513,-1.05,0.293,0.425
dc_monocytic_gmp,STAG2 vs rest,CD52,-0.0644,-1.05,0.293,0.425
dc_monocytic_gmp,STAG2 vs rest,SRSF5,-0.0304,-1.05,0.296,0.425
dc_monocytic_gmp,STAG2 vs rest,RPS11,-0.00222,-1.04,0.296,0.425
dc_monocytic_gmp,STAG2 vs rest,ZFAND6,-0.0268,-1.04,0.3,0.427
dc_monocytic_gmp,STAG2 vs rest,IFIT2,-0.509,-1.04,0.301,0.427
dc_monocytic_gmp,STAG2 vs rest,SQSTM1,0.0125,1.02,0.306,0.432
dc_monocytic_gmp,STAG2 vs rest,ZFR,0.00967,1.02,0.307,0.432
dc_monocytic_gmp,STAG2 vs rest,ANKRD12,-0.0141,-1.01,0.315,0.439
dc_monocytic_gmp,STAG2 vs rest,ANKRD44,0.0114,1,0.315,0.439
dc_monocytic_gmp,STAG2 vs rest,MKLN1,-0.0105,-0.997,0.319,0.44
dc_monocytic_gmp,STAG2 vs rest,TPT1,-0.002,-0.996,0.319,0.44
dc_monocytic_gmp,STAG2 vs rest,CHST11,-0.0153,-0.987,0.324,0.445
dc_monocytic_gmp,STAG2 vs rest,CD44,0.0247,0.981,0.327,0.446
dc_monocytic_gmp,STAG2 vs rest,NASP,0.046,0.972,0.331,0.45
dc_monocytic_gmp,STAG2 vs rest,HSPA8,-0.023,-0.968,0.333,0.451
dc_monocytic_gmp,STAG2 vs rest,ZNF292,-0.00999,-0.955,0.34,0.457
dc_monocytic_gmp,STAG2 vs rest,PCBP2,-4.37e-4,-0.941,0.347,0.465
dc_monocytic_gmp,STAG2 vs rest,XBP1,0.00991,0.929,0.353,0.471
dc_monocytic_gmp,STAG2 vs rest,DOCK8,0.063,0.886,0.376,0.498
dc_monocytic_gmp,STAG2 vs rest,CST3,-0.0538,-0.884,0.377,0.498
dc_monocytic_gmp,STAG2 vs rest,NFKB1,-0.067,-0.858,0.391,0.514
dc_monocytic_gmp,STAG2 vs rest,RPL36AL,0.0185,0.838,0.402,0.527
dc_monocytic_gmp,STAG2 vs rest,PRRC2B,-0.0223,-0.828,0.408,0.532
dc_monocytic_gmp,STAG2 vs rest,KMT2C,0.00326,0.822,0.411,0.534
dc_monocytic_gmp,STAG2 vs rest,UBB,0.0146,0.811,0.418,0.54
dc_monocytic_gmp,STAG2 vs rest,XPO1,0.127,0.806,0.421,0.541
dc_monocytic_gmp,STAG2 vs rest,STAT1,-0.00474,-0.793,0.428,0.548
dc_monocytic_gmp,STAG2 vs rest,ARRDC3,0.103,0.785,0.433,0.552
dc_monocytic_gmp,STAG2 vs rest,SKP1,0.0196,0.745,0.456,0.579
dc_monocytic_gmp,STAG2 vs rest,LYN,-0.0145,-0.737,0.461,0.58
dc_monocytic_gmp,STAG2 vs rest,PPP2CA,-0.0105,-0.737,0.461,0.58
dc_monocytic_gmp,STAG2 vs rest,ARHGDIB,-4.67e-4,-0.731,0.465,0.583
dc_monocytic_gmp,STAG2 vs rest,RILPL2,-0.0336,-0.722,0.47,0.586
dc_monocytic_gmp,STAG2 vs rest,ZFAND3,0.00467,0.718,0.473,0.587
dc_monocytic_gmp,STAG2 vs rest,FBXO34,-0.0193,-0.679,0.497,0.613
dc_monocytic_gmp,STAG2 vs rest,CDC42SE2,-0.0111,-0.678,0.498,0.613
dc_monocytic_gmp,STAG2 vs rest,PHTF1,-0.00826,-0.667,0.505,0.616
dc_monocytic_gmp,STAG2 vs rest,NCOR1,0.0108,0.666,0.506,0.616
dc_monocytic_gmp,STAG2 vs rest,RPL13,-1.69e-4,-0.663,0.507,0.616
dc_monocytic_gmp,STAG2 vs rest,TSC22D3,-0.00812,-0.656,0.512,0.619
dc_monocytic_gmp,STAG2 vs rest,PTPRC,-0.019,-0.654,0.513,0.619
dc_monocytic_gmp,STAG2 vs rest,ARIH1,1.82e-4,0.631,0.528,0.631
dc_monocytic_gmp,STAG2 vs rest,PPP3CA,0.045,0.628,0.53,0.631
dc_monocytic_gmp,STAG2 vs rest,FABP5,0.0106,0.628,0.53,0.631
dc_monocytic_gmp,STAG2 vs rest,CCNL1,-0.00649,-0.617,0.537,0.637
dc_monocytic_gmp,STAG2 vs rest,ADK,0.0285,0.575,0.566,0.665
dc_monocytic_gmp,STAG2 vs rest,ARID4B,0.0194,0.573,0.567,0.665
dc_monocytic_gmp,STAG2 vs rest,SRRM1,0.0192,0.572,0.568,0.665
dc_monocytic_gmp,STAG2 vs rest,HSP90AB1,0.0423,0.564,0.573,0.667
dc_monocytic_gmp,STAG2 vs rest,BRAF,0.0171,0.562,0.575,0.667
dc_monocytic_gmp,STAG2 vs rest,RPS26,-0.0513,-0.528,0.597,0.691
dc_monocytic_gmp,STAG2 vs rest,CRY1,-1.5e-4,-0.506,0.613,0.706
dc_monocytic_gmp,STAG2 vs rest,KLF6,0.0267,0.495,0.621,0.706
dc_monocytic_gmp,STAG2 vs rest,SMDT1,0.00358,0.494,0.622,0.706
dc_monocytic_gmp,STAG2 vs rest,H1FX,-0.00597,-0.494,0.622,0.706
dc_monocytic_gmp,STAG2 vs rest,TXNIP,0.0321,0.492,0.623,0.706
dc_monocytic_gmp,STAG2 vs rest,JUND,0.0415,0.474,0.636,0.718
dc_monocytic_gmp,STAG2 vs rest,LDHA,-5.06e-4,-0.47,0.638,0.718
dc_monocytic_gmp,STAG2 vs rest,ZNF644,-0.00342,-0.432,0.666,0.746
dc_monocytic_gmp,STAG2 vs rest,STAG1,-0.00194,-0.389,0.698,0.779
dc_monocytic_gmp,STAG2 vs rest,RHOH,0.00507,0.375,0.708,0.787
dc_monocytic_gmp,STAG2 vs rest,RBM25,0.0311,0.349,0.727,0.806
dc_monocytic_gmp,STAG2 vs rest,KAT6B,-9.17e-5,-0.292,0.77,0.848
dc_monocytic_gmp,STAG2 vs rest,PHACTR2,-0.0216,-0.291,0.771,0.848
dc_monocytic_gmp,STAG2 vs rest,RTN4,0.00307,0.285,0.775,0.849
dc_monocytic_gmp,STAG2 vs rest,VAMP2,-0.0295,-0.282,0.778,0.849
dc_monocytic_gmp,STAG2 vs rest,BCR,0.00304,0.271,0.786,0.854
dc_monocytic_gmp,STAG2 vs rest,NEMF,0.00345,0.266,0.79,0.855
dc_monocytic_gmp,STAG2 vs rest,ARID4A,-8.52e-4,-0.232,0.816,0.881
dc_monocytic_gmp,STAG2 vs rest,EIF3K,0.0034,0.216,0.829,0.891
dc_monocytic_gmp,STAG2 vs rest,OAZ1,6.37e-4,0.205,0.838,0.897
dc_monocytic_gmp,STAG2 vs rest,SMURF1,0.0127,0.178,0.859,0.914
dc_monocytic_gmp,STAG2 vs rest,RPS10,-0.00121,-0.176,0.86,0.914
dc_monocytic_gmp,STAG2 vs rest,ELF2,0.00522,0.17,0.865,0.916
dc_monocytic_gmp,STAG2 vs rest,UBE2B,-5.18e-4,-0.136,0.892,0.941
dc_monocytic_gmp,STAG2 vs rest,UQCRB,5.13e-4,0.129,0.898,0.943
dc_monocytic_gmp,STAG2 vs rest,KANSL1,-0.00134,-0.104,0.917,0.96
dc_monocytic_gmp,STAG2 vs rest,GAB2,-0.00491,-0.0613,0.951,0.986
dc_monocytic_gmp,STAG2 vs rest,ACTR2,0.00131,0.0599,0.952,0.986
dc_monocytic_gmp,STAG2 vs rest,CHD1,-0.00296,-0.0555,0.956,0.986
dc_monocytic_gmp,STAG2 vs rest,PDE7A,0.00104,0.0467,0.963,0.986
dc_monocytic_gmp,STAG2 vs rest,RTF1,-3.02e-4,-0.046,0.963,0.986
dc_monocytic_gmp,STAG2 vs rest,ETF1,0.00172,0.0375,0.97,0.986
dc_monocytic_gmp,STAG2 vs rest,PTBP2,-5.57e-4,-0.0368,0.971,0.986
dc_monocytic_gmp,STAG2 vs rest,CIRBP,0.00169,0.0356,0.972,0.986
dc_monocytic_gmp,STAG2 vs rest,UBA52,1.92e-5,0.0307,0.976,0.986
dc_monocytic_gmp,STAG2 vs rest,GNPTAB,-0.0018600000000000001,-0.0259,0.979,0.986
dc_monocytic_gmp,STAG2 vs rest,MAN2A1,-9.77e-5,-0.0256,0.98,0.986
dc_monocytic_gmp,STAG2 vs rest,GABARAP,1.94e-5,0.0169,0.987,0.99
dc_monocytic_gmp,STAG2 vs rest,MYADM,-5.5e-4,-0.00891,0.993,0.993
dc_monocytic_gmp,del5q-IB vs rest,ETF1,-0.233,-9.78,3.1600000000000003e-21,9.1e-19
dc_monocytic_gmp,del5q-IB vs rest,SKIL,-0.0948,-8.75,1.64e-17,2.03e-15
dc_monocytic_gmp,del5q-IB vs rest,NSMCE2,0.0516,8.72,2.2e-17,2.03e-15
dc_monocytic_gmp,del5q-IB vs rest,RASA2,0.358,8.69,2.82e-17,2.03e-15
dc_monocytic_gmp,del5q-IB vs rest,FBXL17,-0.0565,-8.58,6.38e-17,3.67e-15
dc_monocytic_gmp,del5q-IB vs rest,SYAP1,0.267,8.53,9.44e-17,4.53e-15
dc_monocytic_gmp,del5q-IB vs rest,RHOH,0.0594,8.32,5.05e-16,2.08e-14
dc_monocytic_gmp,del5q-IB vs rest,FNIP1,-0.207,-8.28,6.48e-16,2.33e-14
dc_monocytic_gmp,del5q-IB vs rest,NFKB1,0.337,8.17,1.57e-15,5.02e-14
dc_monocytic_gmp,del5q-IB vs rest,PPP2CA,-0.0608,-8.04,4.18e-15,1.21e-13
dc_monocytic_gmp,del5q-IB vs rest,FBXO33,0.087,7.96,7.54e-15,1.81e-13
dc_monocytic_gmp,del5q-IB vs rest,GRASP,0.0724,7.96,7.56e-15,1.81e-13
dc_monocytic_gmp,del5q-IB vs rest,STK4,0.095,7.88,1.32e-14,2.93e-13
dc_monocytic_gmp,del5q-IB vs rest,RAP1B,-0.0372,-7.76,3.17e-14,6.52e-13
dc_monocytic_gmp,del5q-IB vs rest,RELB,0.439,7.31,7.54e-13,1.45e-11
dc_monocytic_gmp,del5q-IB vs rest,SYTL3,0.0347,7.12,2.84e-12,5.1e-11
dc_monocytic_gmp,del5q-IB vs rest,MIS18BP1,0.00541,6.97,7.74e-12,1.3100000000000001e-10
dc_monocytic_gmp,del5q-IB vs rest,CDK17,0.0814,6.93,9.97e-12,1.59e-10
dc_monocytic_gmp,del5q-IB vs rest,RAB11A,-0.0775,-6.75,3.23e-11,4.89e-10
dc_monocytic_gmp,del5q-IB vs rest,MAP3K8,0.249,6.67,5.36e-11,7.72e-10
dc_monocytic_gmp,del5q-IB vs rest,ATAD2,0.0106,6.58,9.6e-11,1.32e-9
dc_monocytic_gmp,del5q-IB vs rest,TUBA1A,0.167,6.51,1.48e-10,1.93e-9
dc_monocytic_gmp,del5q-IB vs rest,STK17B,0.0555,6.41,2.82e-10,3.53e-9
dc_monocytic_gmp,del5q-IB vs rest,ZFAND6,0.0857,6.14,1.4e-9,1.69e-8
dc_monocytic_gmp,del5q-IB vs rest,NSA2,0.0832,6.11,1.7e-9,1.95e-8
dc_monocytic_gmp,del5q-IB vs rest,RPS4Y1,-0.303,-5.99,3.49e-9,3.86e-8
dc_monocytic_gmp,del5q-IB vs rest,ZDHHC20,0.146,5.97,3.89e-9,4.15e-8
dc_monocytic_gmp,del5q-IB vs rest,ATP2B1,0.0182,5.95,4.27e-9,4.39e-8
dc_monocytic_gmp,del5q-IB vs rest,YPEL5,0.0422,5.94,4.61e-9,4.58e-8
dc_monocytic_gmp,del5q-IB vs rest,GNAS,-0.051,-5.92,5.27e-9,5.06e-8
dc_monocytic_gmp,del5q-IB vs rest,UQCRB,0.0127,5.9,5.63e-9,5.23e-8
dc_monocytic_gmp,del5q-IB vs rest,PELI1,0.285,5.88,6.39e-9,5.75e-8
dc_monocytic_gmp,del5q-IB vs rest,DEK,0.0119,5.85,7.62e-9,6.65e-8
dc_monocytic_gmp,del5q-IB vs rest,EIF3K,-0.0475,-5.57,3.62e-8,3.06e-7
dc_monocytic_gmp,del5q-IB vs rest,BTBD11,0.0179,5.56,3.85e-8,3.17e-7
dc_monocytic_gmp,del5q-IB vs rest,STK3,-0.285,-5.54,4.39e-8,3.51e-7
dc_monocytic_gmp,del5q-IB vs rest,HNRNPA1,-0.041,-5.53,4.65e-8,3.62e-7
dc_monocytic_gmp,del5q-IB vs rest,ARPC2,-0.00959,-5.49,5.72e-8,4.34e-7
dc_monocytic_gmp,del5q-IB vs rest,PNN,0.098,5.43,8.05e-8,5.95e-7
dc_monocytic_gmp,del5q-IB vs rest,LYN,0.0576,5.4,9.43e-8,6.79e-7
dc_monocytic_gmp,del5q-IB vs rest,PTPRC,0.0849,5.39,9.84e-8,6.91e-7
dc_monocytic_gmp,del5q-IB vs rest,MEF2A,-0.036,-5.37,1.07e-7,7.31e-7
dc_monocytic_gmp,del5q-IB vs rest,HSPA8,-0.0677,-5.24,2.1e-7,1.41e-6
dc_monocytic_gmp,del5q-IB vs rest,MAN2A1,0.0108,5.23,2.3e-7,1.51e-6
